(सामान्य हिन्दी सुनील सर) Part-1 || व्याकरण || 02-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1452704/plain/720x1280.mp4
(राजस्थान का भूगोल नरेंद्र चौधरी सर) Part-3 || राजस्थान में वन एवं वनस्पति || 21-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1595541/plain/720x1280.mp4
(राजस्थान का भूगोल नरेंद्र चौधरी सर) Part-1 || राजस्थान की सिंचाई परियोजनाएं || 21-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1595542/plain/720x1280.mp4
(राजस्थान का भूगोल नरेंद्र चौधरी सर) Part-2 || राजस्थान की सिंचाई परियोजनाएं || 22-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1596711/plain/720x1280.mp4
(राजस्थान का भूगोल नरेंद्र चौधरी सर) Part-1 || राजस्थान में खनिज सम्पदा || 22-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1596712/plain/720x1280.mp4
(राजस्थान का भूगोल नरेंद्र चौधरी सर) Part-2 || राजस्थान में खनिज सम्पदा || 23-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1597494/plain/720x1280.mp4
(राजस्थान का भूगोल नरेंद्र चौधरी सर) Part-1 || राजस्थान में कृषि || 24-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1598579/plain/720x1280.mp4
(राजस्थान का भूगोल नरेंद्र चौधरी सर) Part-2 || राजस्थान में कृषि || 24-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1598580/plain/720x1280.mp4
(राजस्थान का भूगोल नरेंद्र चौधरी सर) Part-1 || राजस्थान में मरुस्थलीकरण || 25-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1599631/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1|| राजस्थान के प्रमुख लोक देवता || 01-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1508605/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-2 || राजस्थान के प्रमुख लोक देवता || 02-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1509686/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-3 || राजस्थान के प्रमुख लोक देवता || 03-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1510820/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-4 || राजस्थान के प्रमुख लोक देवता || 04-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1512169/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-5 || राजस्थान के प्रमुख लोक देवता || 05-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1513312/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-6 || राजस्थान के प्रमुख लोक देवता || 07-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1516236/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-7 || राजस्थान के प्रमुख लोक देवता || 08-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1516530/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान की प्रमुख लोकदेवियाँ || 09-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1517722/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-2 || राजस्थान की प्रमुख लोकदेवियाँ || 10-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1518796/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-3 || राजस्थान की प्रमुख लोकदेवियाँ || 11-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1520074/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-4 || राजस्थान की प्रमुख लोकदेवियाँ || 12-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1521268/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान के मेले और त्यौहार || 14-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1523018/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-2 || राजस्थान के मेले और त्यौहार || 15-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1523743/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-3 || राजस्थान के मेले और त्यौहार || 21-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1530213/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-4 || राजस्थान के मेले और त्यौहार || 22-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1531049/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान की प्रमुख छतरियां || 23-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1532408/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान की प्रमुख वेशभूषा || 19-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1563726/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-2 || राजस्थान की प्रमुख वेशभूषा || 20-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1564517/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान के प्रमुख महल || 21-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1565870/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान में महत्त्वपूर्ण संस्थान || 21-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1565871/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान की चित्रकला || 22-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1567545/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-2 || राजस्थान की चित्रकला|| 23-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1568834/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-3 || राजस्थान की चित्रकला|| 24-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1570201/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-4 || राजस्थान की चित्रकला|| 26-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1571773/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान के संत व सम्प्रदाय|| 27-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1572520/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-2|| राजस्थान के संत व सम्प्रदाय|| 27-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1572519/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-3 || राजस्थान के संत व सम्प्रदाय|| 30-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1575430/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-4 || राजस्थान के संत व सम्प्रदाय|| 31-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1576581/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-5 || राजस्थान के संत व सम्प्रदाय|| 31-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1576578/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-6 || राजस्थान के संत व सम्प्रदाय|| 02-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1577807/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान के दुर्ग || 03-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1578443/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-2 || राजस्थान के दुर्ग || 04-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1579488/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-3 || राजस्थान के दुर्ग || 05-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1580754/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-4 || राजस्थान के दुर्ग || 07-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1582967/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-5 || राजस्थान के दुर्ग || 08-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1583756/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान में साहित्य || 08-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1583755/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-2 || राजस्थान में साहित्य || 09-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1584184/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-3 || राजस्थान में साहित्य || 10-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1584885/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-4 || राजस्थान में साहित्य || 11-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1585767/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-5 || राजस्थान में साहित्य || 12-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1586457/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-6 || राजस्थान में साहित्य || 13-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1587357/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान के प्रमुख लोक नृत्य व लोक गीत || 24-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1598583/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-2 || राजस्थान के प्रमुख लोक नृत्य व लोक गीत || 25-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1599634/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-3 || राजस्थान के प्रमुख लोक नृत्य व लोक गीत || 25-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1599635/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-4 || राजस्थान के प्रमुख लोक नृत्य व लोक गीत || 26-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1601063/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-5 || राजस्थान के प्रमुख लोक नृत्य व लोक गीत || 26-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1601064/plain/720x1280.mp4
(राजस्थान कला एवं संस्कृति - राजकुमार सर) Part-1 || राजस्थान के प्रमुख आभूषण || 27-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1601166/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || पाठ्यक्रम चर्चा ||  03-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1510821/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || संज्ञा || 04-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1512168/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 || संज्ञा || 05-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1513313/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || सर्वनाम || 07-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1516242/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 || सर्वनाम || 08-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1516532/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || विशेषण || 09-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1517723/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 || विशेषण || 10-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1518795/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-3 || विशेषण || 11-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1520076/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || क्रिया|| 12-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1521274/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 || क्रिया|| 14-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1523016/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-3 ||  क्रिया || 16-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1524739/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 ||  काल || 17-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1525768/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 ||  वाक्य विचार || 18-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1526999/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 ||  वाक्य विचार || 19-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1528198/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-3 ||  वाक्य विचार ||24-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1533628/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-4 ||  वाक्य विचार, अशुद्धि संशोधन || 25-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1534980/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 ||  अशुद्धि संशोधन || 26-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1536465/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 ||  अशुद्धि संशोधन || 28-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1538822/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-3 || अशुद्धि संशोधन || 29-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1541077/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-4 ||  अशुद्धि संशोधन || 30-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1539640/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || संधि || 01-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1542437/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 || संधि || 02-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1544012/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-3 || संधि || 03-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1545744/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-4 || संधि || 05-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1548612/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-5 || संधि || 06-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1549346/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-6 || संधि || 07-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1550751/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-7 || संधि || 08-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1552215/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-8 || संधि  || 09-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1553876/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || समास || 09-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1553877/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 || समास || 10-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1555065/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-3 || समास || 12-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1556958/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-4 || समास || 13-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1557618/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || उपसर्ग || 14-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1558809/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 || उपसर्ग || 15-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1559729/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || प्रत्यय || 16-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1560619/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 || प्रत्यय || 17-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1561751/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-3 || प्रत्यय || 18-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1563030/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || पत्र लेखन || 23-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1568674/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-2 || पत्र लेखन || 23-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1570017/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-3 || पत्र लेखन || 24-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1570202/plain/720x1280.mp4
(हिन्दी - दीपक सर ) Part-1 || विलोम शब्द || 26-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1571771/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-1 || Syllabus Discussion || 08-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1516531/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-1 || अनुपात एवं समानुपात || 09-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1517724/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-2 || अनुपात एवं समानुपात  || 10-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1518791/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-3 || अनुपात एवं समानुपात  || 11-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1520075/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-4 || अनुपात एवं समानुपात  || 12-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1521270/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-5 || अनुपात एवं समानुपात  || 14-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1523017/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-1 || प्रतिशत (Percentage)  || 15-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1523744/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-2 || प्रतिशत (Percentage)  || 15-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1523741/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-3 || प्रतिशत (Percentage)  || 16-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1524738/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-4 || प्रतिशत (Percentage)  || 17-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1525769/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-1 || लाभ और हानि (Profit and Loss) || 18-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1527000/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-2 || लाभ और हानि (Profit and Loss) || 19-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1528196/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-3 || लाभ और हानि (Profit and Loss) || 20-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1529402/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-4 || लाभ और हानि (Profit and Loss) ||  21-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1530215/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-1 || साधारण ब्याज (Simple Interest) || 22-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1531048/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-2 || साधारण ब्याज (Simple Interest) || 23-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1532405/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-3 || साधारण ब्याज (Simple Interest) || 24-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1533630/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-1 ||  चक्रवृद्धि ब्याज(Compound interest) || 25-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1534982/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-2 ||  चक्रवृद्धि ब्याज(Compound interest) || 26-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1536467/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-3 || चक्रवृद्धि ब्याज(Compound interest) || 27-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1538043/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-4 || चक्रवृद्धि ब्याज(Compound interest) || 27-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1538041/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-1 || साझेदारी (Partnership) || 28-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1538823/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-2 || साझेदारी (Partnership) || 29-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1539641/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-1 || क्षेत्रमिति (Mensuration) || 30-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1541078/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-2 || क्षेत्रमिति (Mensuration) || 01-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1542439/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-3 || क्षेत्रमिति (Mensuration) || 02-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1544015/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-4 || क्षेत्रमिति (Mensuration) || 02-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1544014/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-5 || क्षेत्रमिति (Mensuration) || 03-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1545745/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-6 || क्षेत्रमिति (Mensuration) || 04-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1547280/plain/720x1280.mp4
(Mathematics - Mahendra Goyal Sir) Part-7 || क्षेत्रमिति (Mensuration) || 04-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1547279/plain/720x1280.mp4
