[Batch Thumbnail] Batch Thumbnail : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/batch/68c289fb7d411_dsssb_prt_icon.png
[Intro] DSSSB 2025 (PRT) | New Batch Introduction | By Uday Sir | Careerwill App : https://www.youtube.com/embed/lpzFg-65eRE
[Intro] DSSSB TGT SPECIAL BATCH INTRODUCTION BY UDAY SIR | CAREERWILL APP : https://www.youtube.com/embed/vUN2PvPTGSE
[Intro] New Offline Teaching Batch Announcement || By Himanshi Maam || Careerwill Offline : https://www.youtube.com/embed/rqdWo9t1NrM
[Maths] Class-01 | Maths | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4549361/175792013840184120866/175792013840184120866_4120866.m3u8
[Geography] Class - 13 | Geo |  Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4572081/175992611187967140453/175992611187967140453_7140453.m3u8
[Geography] Class - 14 | Geo |  Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4573244/176001225126638367574/176001225126638367574_8367574.m3u8
[Geography] Class - 15 | Geo |  Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4574759/176009906559188309336/176009906559188309336_8309336.m3u8
[Geography] Class - 16 | Geo |  Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576831/17603584924540416846/17603584924540416846_416846.m3u8
[Geography] Class - 17 | Geo |  Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577809/176044447443754819135/176044447443754819135_4819135.m3u8
[Geography] Class - 18 | Geo |  Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579051/176053074728347140453/176053074728347140453_7140453.m3u8
[Geography] Class - 19 | Geo |  Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580115/176061764126333590984/176061764126333590984_3590984.m3u8
[Geography] Class - 20 | Geo |  Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4581030/176070404071665780339/176070404071665780339_5780339.m3u8
[Geography] Class - 21 | Geo |  Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4585113/176156783266028367574/176156783266028367574_8367574.m3u8
[Geography] Class - 24 | Geo | Agriculture of India ( भारत की कृषि) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4586124/176165452991247195824/176165452991247195824_7195824.m3u8
[Geography] Class - 23 | Geo | Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4588276/176182699534688309336/176182699534688309336_8309336.m3u8
[Geography] Class - 24 | Geo | Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4589334/176191353854414819135/176191353854414819135_4819135.m3u8
[Geography] Class - 25 | Geo | Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4590059/176199841513294800893/176199841513294800893_4800893.m3u8
[Geography] Class - 26 | Geo | Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_ios/4591230/1762175928_7761023266166258/1762175879060_709571495736409700_video_VOD.m3u8
[Geography] Class - 27 | Geo | Rivers of india (भारत की नदियाँ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4592226/176225997993313103381/176225997993313103381_3103381.m3u8
[Physics] Class-01 | Physics |  Intro : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4550494/175801136593126974029/175801136593126974029_6974029.m3u8
[Physics] Class-02 | Phy | Reflection of Light (प्रकाश का परावर्तन) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4551573/175809775728285722963/175809775728285722963_5722963.m3u8
[Physics] Class - 03 | Phy | Reflection of Light (प्रकाश का परावर्तन) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552567/175818376446496908824/175818376446496908824_6908824.m3u8
[Physics] Class - 04 | Phy | Reflection of Light (प्रकाश का परावर्तन) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553447/175827055274034800893/175827055274034800893_4800893.m3u8
[Physics] Class - 05 | Phy | Reflection of Light (प्रकाश का परावर्तन) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555455/175852943019273907752/175852943019273907752_3907752.m3u8
[Physics] Class - 06 | Phy | Refraction of Light (प्रकाश का अपवर्तन) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557627/175870277276185193874/175870277276185193874_5193874.m3u8
[Physics] Class - 07 | Phy | Refraction of Light (प्रकाश का अपवर्तन) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560175/175887520250663199068/175887520250663199068_3199068.m3u8
[Physics] Class - 08 | Phy | Refraction of Light (प्रकाश का अपवर्तन) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4562217/175913441549078959035/175913441549078959035_8959035.m3u8
[Physics] Class - 09 | Phy | Refraction of Light (प्रकाश का अपवर्तन) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563235/175922072395413107929/175922072395413107929_3107929.m3u8
[Physics] Class - 10 | Phy | Dispersion of Light (प्रकाश का विक्षेपण) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4564365/175930722171899762013/175930722171899762013_9762013.m3u8
[Physics] Class - 11 | Phy | Dispersion of Light (प्रकाश का विक्षेपण) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4565954/175948010460859762013/175948010460859762013_9762013.m3u8
[Physics] Class - 12 | Phy | Structure and Function of Human Eye : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4568246/175973928870014800893/175973928870014800893_4800893.m3u8
[Physics] Class - 13 | Phy | Defects Of Vision And Their Corrections : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4570295/175982589564577140453/175982589564577140453_7140453.m3u8
[Physics] Class - 14 | Phy | Motion in a Straight Line : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4571624/1759912039554254708/1759912039554254708_54708.m3u8
[Physics] Class - 15 | Phy | Motion in a Straight Line : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4572915/175999890125577140453/175999890125577140453_7140453.m3u8
[Physics] Class - 16 | Phy | Motion in a Straight Line : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4574380/176008481532878309336/176008481532878309336_8309336.m3u8
[Physics] Class - 17 | Phy | Motion in a Straight Line : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576498/176034397621935780339/176034397621935780339_5780339.m3u8
[Physics] Class - 18 | Phy | Laws of Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577542/176043063827557140453/176043063827557140453_7140453.m3u8
[Physics] Class - 19 | Phy | Laws of Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4578720/176051695834257140453/176051695834257140453_7140453.m3u8
[Physics] Class - 20 | Phy | Work, Power amd Energy : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579770/176060321726965780339/176060321726965780339_5780339.m3u8
[Physics] Class - 21 | Phy | Work, Power amd Energy : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580787/1760689756479054708/1760689756479054708_54708.m3u8
[Physics] Class - 22 | Phy | Work, Power amd Energy : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4584781/176155353072185146684/176155353072185146684_5146684.m3u8
[Physics] Class - 23 | Phy | गुरुत्वाकर्षण (Gravitation) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4585794/176164003759146618747/176164003759146618747_6618747.m3u8
[Physics] Class - 24 | Phy | गुरुत्वाकर्षण (Gravitation) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4586866/176172679975256618747/176172679975256618747_6618747.m3u8
[Physics] Class - 25 | Phy | गुरुत्वाकर्षण (Gravitation) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4587845/176181277998424819135/176181277998424819135_4819135.m3u8
[Physics] Class - 26 | Phy | Sound (ध्वनि) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4588991/176189926214258367574/176189926214258367574_8367574.m3u8
[Physics] Class - 27 | Phy | Sound (ध्वनि) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4589893/176198566626037195824/176198566626037195824_7195824.m3u8
[Physics] Class - 28 | Phy | Sound (ध्वनि) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4590866/176215834687878969043/176215834687878969043_8969043.m3u8
[Physics] Class - 29 | Phy | Sound (ध्वनि) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4591846/176224482440938309336/176224482440938309336_8309336.m3u8
[Biology] Class-01 | Biology | Introduction : https://www.youtube.com/embed/MyH9B1s1eZg
[Biology] Class-02 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4551083/175804389670533287604/175804389670533287604_3287604.m3u8
[Biology] Class-03 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552143/175813083527276974029/175813083527276974029_6974029.m3u8
[Biology] Class-04 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553048/175821667758867316486/175821667758867316486_7316486.m3u8
[Biology] Class-05 | Biology | Introduction : https://www.youtube.com/embed/EcwayUWnMmY
[Biology] Class-06 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4554876/175838918177159047400/175838918177159047400_9047400.m3u8
[Biology] Class-07 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555985/175856197075206618747/175856197075206618747_6618747.m3u8
[Biology] Class-08 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557149/175864849777264292795/175864849777264292795_4292795.m3u8
[Biology] Class-09 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4558590/175873498195538291192/175873498195538291192_8291192.m3u8
[Biology] Class-10 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559638/175882080815078291192/175882080815078291192_8291192.m3u8
[Biology] Class-11 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560729/175890737448224392287/175890737448224392287_4392287.m3u8
[Biology] Class-12 | Biology | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4575776/176020233947356974029/176020233947356974029_6974029.m3u8
[Current Affairs] CURRENT AFFAIRS 15 Sept 2025 : https://www.youtube.com/embed/y1femNk_r-I
[Current Affairs] CURRENT AFFAIRS 16 Sept 2025 : https://www.youtube.com/embed/gAKRRCfMpus
[Current Affairs] CURRENT AFFAIRS 17 Sept 2025 : https://www.youtube.com/embed/CXUZIE-fvbc
[Current Affairs] CURRENT AFFAIRS 18 Sept 2025 : https://www.youtube.com/embed/1sLiD2FjA6c
[Current Affairs] CURRENT AFFAIRS 19  Sept 2025 : https://www.youtube.com/embed/-UVx_moHStg
[Current Affairs] CURRENT AFFAIRS 20 Sept 2025 : https://www.youtube.com/embed/4GVLD9A9rvU
[Current Affairs] CURRENT AFFAIRS 22 Sept 2025 : https://www.youtube.com/embed/7-UaCFcvrP4
[Current Affairs] CURRENT AFFAIRS 23 Sept 2025 : https://www.youtube.com/embed/aDvbfgdruaI
[Current Affairs] CURRENT AFFAIRS 24 Sept 2025 : https://www.youtube.com/embed/C_7D_ro6xwM
[Current Affairs] CURRENT AFFAIRS 25 Sept 2025 : https://www.youtube.com/embed/M_EDU59dY7w
[Current Affairs] CURRENT AFFAIRS 26 Sept 2025 : https://www.youtube.com/embed/WvSuzEY5IgU
[Current Affairs] CURRENT AFFAIRS 27 Sept 2025 : https://www.youtube.com/embed/iPfedtx35D4
[Current Affairs] CURRENT AFFAIRS 29 Sept 2025 : https://www.youtube.com/embed/HCDO26ziMWA
[Current Affairs] CURRENT AFFAIRS 30 Sept 2025 : https://www.youtube.com/embed/ytwTGr5JI2w
[Current Affairs] CURRENT AFFAIRS 01 Oct 2025 : https://www.youtube.com/embed/7slv-hAf9h4
[Current Affairs] CURRENT AFFAIRS 02 Oct 2025 : https://www.youtube.com/embed/n1_vsQVA_iw
[Current Affairs] CURRENT AFFAIRS 06 Oct 2025 : https://www.youtube.com/embed/86ictZcn5VI
[Current Affairs] CURRENT AFFAIRS 07 Oct 2025 : https://www.youtube.com/embed/F2q0-XT_Vq0
[Current Affairs] CURRENT AFFAIRS 09 Oct 2025 : https://www.youtube.com/embed/UC83q3XAIdw
[Current Affairs] CURRENT AFFAIRS 10 Oct 2025 : https://www.youtube.com/embed/mjuF254L_9s
[Current Affairs] CURRENT AFFAIRS 11 Oct 2025 : https://www.youtube.com/embed/YoIxHcb4Kd0
[Current Affairs] CURRENT AFFAIRS 13 Oct 2025 : https://www.youtube.com/embed/gleI-0_YSU0
[Current Affairs] CURRENT AFFAIRS 15 Oct 2025 : https://www.youtube.com/embed/LbWqZoSKkSg
[Current Affairs] CURRENT AFFAIRS 29 Oct 2025 : https://www.youtube.com/embed/mmp9cDCrFbU
[Current Affairs] CURRENT AFFAIRS 30 Oct 2025 : https://www.youtube.com/embed/U5NkVGiMS2o
[Current Affairs] CURRENT AFFAIRS 31 Oct 2025 : https://www.youtube.com/embed/6vNtrjGrrt4
[Current Affairs] CURRENT AFFAIRS 03 Nov 2025 : https://www.youtube.com/embed/vYDuh0wbwg8
[CDP (VOD)] Class-01 | CDP | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6323578881112/6323578881112.m3u8
[CDP (VOD)] Class-02 | CDP | Bronfenbrenner's Ecological Model : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6323580175112/6323580175112.m3u8
[CDP (VOD)] Class-03 | CDP | Micro Teaching : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6323514429112/6323514429112.m3u8
[CDP (VOD)] Class-04 | CDP | Micro Teaching : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6323597173112/6323597173112.m3u8
[CDP (VOD)] Class-05 | CDP | School Of Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6323652572112/6323652572112.m3u8
[CDP (VOD)] Class-06 | CDP | School Of Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6323717335112/6323717335112.m3u8
[CDP (VOD)] Class-07 | CDP | Gestalt  Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6323888468112/6323888468112.m3u8
[CDP (VOD)] Class-08 | CDP | Education Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6323945588112/6323945588112.m3u8
[CDP (VOD)] Class-09 | CDP | Methods Of Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6324142372112/6324142372112.m3u8
[CDP (VOD)] Class-10 | CDP | Micro Teaching : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6324463031112/6324463031112.m3u8
[CDP (VOD)] Class-11 | CDP | Growth and Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6324962865112/6324962865112.m3u8
[CDP (VOD)] Class-12 | CDP | Growth and Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6325031342112/6325031342112.m3u8
[CDP (VOD)] Class-13 | CDP | Growth and Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6325261799112/6325261799112.m3u8
[CDP (VOD)] Class-14 | CDP | Growth and Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6325323509112/6325323509112.m3u8
[CDP (VOD)] Class-15 | CDP | Growth and Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6325383522112/6325383522112.m3u8
[CDP (VOD)] Class-16 | CDP | Principles of Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6325449943112/6325449943112.m3u8
[CDP (VOD)] Class-17 | CDP | Principles of Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6325512098112/6325512098112.m3u8
[CDP (VOD)] Class-18 | CDP | Stages of Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6326188474112/6326188474112.m3u8
[CDP (VOD)] Class-19 | CDP | Stages of Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6326244602112/6326244602112.m3u8
[CDP (VOD)] Class-20 | CDP | Stages of Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6326315690112/6326315690112.m3u8
[CDP (VOD)] Class-21 | CDP | Stages of Development - Adolescence : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6326386872112/6326386872112.m3u8
[CDP (VOD)] Class-22 | CDP | Stages of Development - Adolescence : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6326570822112/6326570822112.m3u8
[CDP (VOD)] Class-23 | CDP | Stages of Development - Adolescence : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6326625661112/6326625661112.m3u8
[CDP (VOD)] Class-23 | CDP | Factors Affecting Development (विकास को प्रभावित करने वाले कारक) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6327212429112/6327212429112.m3u8
[CDP (VOD)] Class-24 | CDP | Factors Affecting Development (विकास को प्रभावित करने वाले कारक) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6327296429112/6327296429112.m3u8
[CDP (VOD)] Class-25 | CDP | Factors Affecting Development (विकास को प्रभावित करने वाले कारक) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6327538005112/6327538005112.m3u8
[CDP (VOD)] Class-26 | CDP | Heredity and Environment (आनुवंशिकता एवं वातावरण) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6327678740112/6327678740112.m3u8
[CDP (VOD)] Class-27 | CDP | Heredity and Environment (आनुवंशिकता एवं वातावरण) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6327748498112/6327748498112.m3u8
[CDP (VOD)] Class-28 | CDP | Class Information : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6327828501112/6327828501112.m3u8
[CDP (VOD)] Class-29 | CDP | Socialization Process : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6328022498112/6328022498112.m3u8
[CDP (VOD)] Class-30 | CDP | Socialization : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6328079575112/6328079575112.m3u8
[CDP (VOD)] Class-31 | CDP | Gender (लिंग) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6328144506112/6328144506112.m3u8
[CDP (VOD)] Class-32 | CDP | Gender (लिंग) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6328205007112/6328205007112.m3u8
[CDP (VOD)] Class-33 | CDP | Freud’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6328606147112/6328606147112.m3u8
[CDP (VOD)] Class-34 | CDP | Erik Erikson’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6328668582112/6328668582112.m3u8
[CDP (VOD)] Class-35 | CDP | Piaget’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6329011476112/6329011476112.m3u8
[CDP (VOD)] Class-36 | CDP | Piaget’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6329082509112/6329082509112.m3u8
[CDP (VOD)] Class-37 | CDP | Piaget’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6329349503112/6329349503112.m3u8
[CDP (VOD)] Class-38 | CDP | Piaget’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6329407039112/6329407039112.m3u8
[CDP (VOD)] Class-39 | CDP | Piaget’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6329482283112/6329482283112.m3u8
[CDP (VOD)] Class-40 | CDP | Vygotsky’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6329547002112/6329547002112.m3u8
[CDP (VOD)] Class-41 | CDP | Vygotsky’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6329733306112/6329733306112.m3u8
[CDP (VOD)] Class-42 | CDP | Kohlberg’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6329908023112/6329908023112.m3u8
[CDP (VOD)] Class-43 | CDP | Kohlberg’s Theory : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6329970268112/6329970268112.m3u8
[CDP (VOD)] Class-44 | CDP | Learning and Motivation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6330179130112/6330179130112.m3u8
[CDP (VOD)] Class-45 | CDP | Learning and Motivation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6330235651112/6330235651112.m3u8
[CDP (VOD)] Class-46 | CDP | Learning and Motivation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6330295395112/6330295395112.m3u8
[CDP (VOD)] Class-47 | CDP | Learning and Motivation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6330360505112/6330360505112.m3u8
[CDP (VOD)] Class-48 | CDP | Cognition & Emotion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6330510065112/6330510065112.m3u8
[CDP (VOD)] Class-49 | CDP | Cognition & Emotion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6330683718112/6330683718112.m3u8
[CDP (VOD)] Class-50 | CDP | Child Centered & Progressive Education : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6330745038112/6330745038112.m3u8
[CDP (VOD)] Class-51 | CDP | Child Centered & Progressive Education : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6330926123112/6330926123112.m3u8
[CDP (VOD)] Class-52 | CDP | Individual Differences : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6331065521112/6331065521112.m3u8
[CDP (VOD)] Class-53 | CDP | Individual Differences : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6331124353112/6331124353112.m3u8
[CDP (VOD)] Class-54 | CDP | Intelligence : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6331184598112/6331184598112.m3u8
[CDP (VOD)] Class-55 | CDP | IQ Table : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6331455772112/6331455772112.m3u8
[CDP (VOD)] Class-56 | CDP | Two Factor Theory Of Charles Spearman : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6331537022112/6331537022112.m3u8
[CDP (VOD)] Class-57 | CDP | Multiple Intelligence : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6331749029112/6331749029112.m3u8
[CDP (VOD)] Class-58 | CDP | Language & Thought : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6331934223112/6331934223112.m3u8
[CDP (VOD)] Class-59 | CDP | Inclusive Education : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6332091408112/6332091408112.m3u8
[CDP (VOD)] Class-60 | CDP | Inclusive Education : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6332308347112/6332308347112.m3u8
[CDP (VOD)] Class-61 | CDP | Inclusive Education : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6332365498112/6332365498112.m3u8
[CDP (VOD)] Class-62 | CDP | National Education Policy : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6332565243112/6332565243112.m3u8
[CDP (VOD)] Class-63 | CDP | National Education Policy : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6332614470112/6332614470112.m3u8
[CDP (VOD)] Class-64 | CDP | Stages of Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6332692566112/6332692566112.m3u8
[CDP (VOD)] Class-65 | CDP | Stages of Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6335258170112/6335258170112.m3u8
[CDP (VOD)] Class-66 | CDP | Stages of Development : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6337084915112/6337084915112.m3u8
[CDP (VOD)] CDP | CLASS-67 | Teacher styles and Methods : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6269113322001/6269113322001.m3u8
[CDP (VOD)] CDP | CLASS-68 | Teaching style and methods : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6269113325001/6269113325001.m3u8
[CDP (VOD)] CDP | CLASS-69 |  Group Discussion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6269113391001/6269113391001.m3u8
[CDP (VOD)] CDP | CLASS-70 | Teaching Methods : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6269112493001/6269112493001.m3u8
[CDP (VOD)] CDP | CLASS-71 | Teaching Methods : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6269112495001/6269112495001.m3u8
[CDP (VOD)] CDP | CLASS-72 | Action Research : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6318747523112/6318747523112.m3u8
[CDP (VOD)] CDP | Class-73 | RTE Act -2009 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6311341372112/6311341372112.m3u8
[CDP (VOD)] CDP | Class-74 | RTE Act- 2009 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6311390515112/6311390515112.m3u8
[CDP (VOD)] CDP | Class-75 | NCF- 2005 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6311428080112/6311428080112.m3u8
