[Intro] IIT JEE 2.0 | IIT JEE Big Announcement | Careerwill JEE : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4475375/1751873283_9895971845525287/1751873253362_723003298178464500_video_VOD.mpd?#keysV1=KlzKGUv2rWRFEmHYyxZihEi-4dhfARh32hMefKtDOxL-wqmeTIwbSkkG8cNKxRM_jvo_s5p49y5Az2Ko_wU0e_zQ-gmhsDrZIu3SuG3WfwFXUUl3Sx-23ggnU-wc_HHDJAdYaqXRwn_dUNjnTtPawiKciIIV-UhraHxal-_JyWIeGlaocI4OYUWiogdlTvfLFvTHTLZfJnyd-WFIKuLQy1gdkcKFD4uUUAK-vM967l53Bi0eBsaPeucS-5nK8etFp-RetXWuyj-v71oSifPXOMPcRMlTjD7xKm_HsP4Htqii7vThvGN1oQC4oU7tOTf4qQAzacZ_61aZ7Va2yz765Q7NIdMHUhpc_aRyikcEXzSCcvLw8Sx3yYVpXwZc0szf
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-11 | Electronegativity : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4482589/1752570727_7931243574323791/1752570632885_112854828712694190_video_VOD.mpd?#keysV1=B3qGiYLiUUC-qWofmnBCTOe9lR4hLl8nAa24veXMGDv4uRLN0lUO61PA6vDi_nSSO0n-V57QSz0NKT3pqWMoLXe5Igk-ETOP8qWwvgdKd73UZElii71o51eLfn5jEAiZJCnoSWflUW8w4qSNGkwEr9OCLhHw0GvIXbY99Ul55lwjTuu8rArEai28dc6VNDoG3kYisPIPHrezRoLUnwI595Vk6RPQCtyyMHZhHnxQwaMjqUVdnWmVPTrwLIvjhawlMYgMpRXjKkKI2VwU8AqCcYIQwHkdxHJo_vgl5-gnUnofBLxQZgDVFDM0LdqT64JP4cPh44sSfBXFcLLnMWbiChOZx47vB8-OC-bd04hePHPhhmD19aJZzLcVJGBJmFjC
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-12 | Electronegativity : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4482576/1752570291_6284242202167856/1752569618873_866436362669652400_video_VOD.mpd?#keysV1=_MuoB3VDrfFZ_2Dnk0b68SqPBKQeE_2bcc9NzObrQuaikGrMFdERdoQW95Y5hO8XLrT5mYN-_WvXYxpEXNDDSsHIVffghmmB2_Y67ATuYWXbEa-P4jJgGPiZ9VW9NwOkIzSkQtKP7SbEmmPOAAlm7VtDl-KJe80mRdl_jWvs7Vjw4_LH8Kc9WpHzkcS4mqwKoWg8-O2xRIaUn67Zl3wr8ASKlEfIc_4GoojBb8tFjLTxrPPyDSe7lQ1aH1sNdBz9ezsHjJjFsb48vH9LCFKseITBuxaN_PPhTwfqpmFaTvlr3DYIqwBegfI-qZYJ1hYKmr_8ereiXdpN-lpMhu4Ied8W1B4SDWA7yHkKCRKDk4iQ7PA0Pf1Enu6BaFseOOT9
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-13 | Lattice Energy and Hydration Energy : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4482716/175257752352644221427/175257752352644221427_4221427.m3u8
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-14 | Nature of Oxides : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4484748/175275048694184221427/175275048694184221427_4221427.m3u8
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-15 | Born Haber Cycle : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_drm_dash/4486726/175292302031724221427/175292302031724221427_4221427_Dash.mpd?#keysV1=Epo-pK60tFmnsrUXzCvczVGKAw0CqNNz9-3H6CYK7OkeZ7YGaBKyeR12o4Txu6YZ8HEBZ00stnPBQjfAY5Ab0Nptu-6BK6I79YH9oqx7LaaNPKI7A_KJEAzGHzZ-7PPg8ECUmkD6UQolcWe80eEJ993mRjNXD9_NTOhAECUV49-UG03Jz8E0loC0XXAH-w6cNaaIuSvYhSfUKgG1TOJRjNvuVvymrGlm27pNSkLF7IvlfHx_EL3wIIdAELZkdDJCXo-TGQRflIlSheeG2PRV7QKvBXiFLFNxOAECba7xz5THTODus3umZFL_Js8ckrouxXdfeaVVRiJRphbPKpifflxGQZYIF4SVHEeihq69oVmBQmas5N4bWHWuvThpfLJy
[Inorganic Chemistry] Chemical Bonding | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4489509/175318246055164221427/175318246055164221427_4221427.m3u8
[Inorganic Chemistry] Chemical Bonding | L-02 | Ionic Bond and Fajan's Rule : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4492582/175335515483594221427/175335515483594221427_4221427.m3u8
[Inorganic Chemistry] Chemical Bonding | L-03 | Fajan's Rule : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4494812/175352803161354221427/175352803161354221427_4221427.m3u8
[Inorganic Chemistry] Chemical Bonding | L-04 | Covolent Bond : https://www.youtube.com/embed/-8MmTNEsbqo
[Inorganic Chemistry] Chemical Bonding | L-05 | Coordinate Bond : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4505335/175396002183564221427/175396002183564221427_4221427.m3u8
[Physical Chemistry] Mole Concept | L-01 |  Definition of Mole : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371516547112/6371516547112.m3u8
[Physical Chemistry] Mole Concept | L-02 | Mole in Terms of Mass and Volume : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371591914112/6371591914112.m3u8
[Physical Chemistry] Mole Concept | L-03 | Mole Percentage, Average and Molar Mass : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371681501112/6371681501112.m3u8
[Physical Chemistry] Mole Concept | L-04 | Vapour Density : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371782916112/6371782916112.m3u8
[Physical Chemistry] Mole Concept | L-05 | Empirical and Molecular Formula : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371864779112/6371864779112.m3u8
[Physical Chemistry] Mole Concept | L-06 | Stoichiometry : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371961054112/6371961054112.m3u8
[Physical Chemistry] Mole Concept | L-07 | Limiting Reagent : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372055688112/6372055688112.m3u8
[Physical Chemistry] Mole Concept | L-08 | Mixture Analysis : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372155042112/6372155042112.m3u8
[Physical Chemistry] Mole Concept | L-09 | Mixture Analysis : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372270225112/6372270225112.m3u8
[Physical Chemistry] Mole Concept | L- 10 | Sequential Reaction and Factor Lebel Method : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372404274112/6372404274112.m3u8
[Physical Chemistry] Mole Concept | L- 11 | Concentration terms : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372510518112/6372510518112.m3u8
[Physical Chemistry] Mole Concept | L- 12 | Problem Based on Concentration Terms and Dilution of Solution : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372615987112/6372615987112.m3u8
[Physical Chemistry] Mole Concept | L- 13 | Acid Base and Neutralisation Reaction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372737590112/6372737590112.m3u8
[Physical Chemistry] Mole Concept | L- 14 | Concentration Problems and Molarity of Pure Liquid : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372835896112/6372835896112.m3u8
[Physical Chemistry] Mole Concept | L- 15 | Volume Strength of H2O2 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372962361112/6372962361112.m3u8
[Physical Chemistry] Mole Concept | L- 16 | Home Work Discussion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373103858112/6373103858112.m3u8
[Physical Chemistry] Mole Concept | L- 17 | Eudiometry : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373216043112/6373216043112.m3u8
[Physical Chemistry] Mole Concept | L- 18 | Sheet Discussion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373424858112/6373424858112.m3u8
[Physical Chemistry] Mole Concept | L- 19 | Sheet Discussion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373520401112/6373520401112.m3u8
[Physical Chemistry] Mole Concept | L- 20 | Sheet Discussion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373599993112/6373599993112.m3u8
[Physical Chemistry] Atomic Structure | L-01 | Discovery of Sub Atomic Particles : https://www.youtube.com/embed/hooevyw3LwM
[Physical Chemistry] Atomic Structure | L-02 | Calculation of Distance of Closest Approach and Maxwell Theory of Electromagnetic Radiation : https://www.youtube.com/embed/_-Q4OAK3-6I
[Physical Chemistry] Atomic Structure | L-03 | Types of Spectrum : https://www.youtube.com/embed/1HM2a8GUTCw
[Physical Chemistry] Atomic Structure | L-04 | Photo Electric Effect : https://www.youtube.com/embed/ouOu0yEguwQ
[Physical Chemistry] Atomic Structure | L-05 | Photo Electric Effect : https://www.youtube.com/embed/ac7pU64euYI
[Physical Chemistry] Atomic Structure | L-06 | Bohr's Atomic Model : https://www.youtube.com/embed/xWxhHhjbgW0
[Physical Chemistry] Atomic Structure | L-07 | Hydrogen Atomic Spectrum : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4475892/175189306162869762013/175189306162869762013_9762013.m3u8
[Physical Chemistry] Atomic Structure | L-08 | Ionization Energy and Seperation Energy : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4482591/1752570845_6772338450949413/1752570667288_255216246251984700_video_VOD.mpd?#keysV1=Qg2JwiDqPPTERebwYBEQ2Fgu7uC090W0bA167tZ6Opkygae_mRRzt0t96bQQGf9EEEz-kbaRnRw_pWEifuk8uWc5xOWR_PXVCjTQeeWxcJodnP_kfBcak-3s0ob876fz3ZGuSb0qxf9ny5gTJ2u21FOXyJqSf-YQ5ozz9A2yOeZ3MJfCknGlIHaw0bekjnU_eqSDr9_6RjFAg-QXWlJjEGqrtZZNGswMzT4clXCiQ1VHfhWLjSiYbglozFxU8T452oJ3AfvTincoESnaDAWA04PUV9tH9r3DUEkCAsaP7IsYI-yJS5DQ8y0T3VigMg_nmMeUI4E-4zlfmqaMYNaERxe7lVJLyZ35bgrGBU7PlNirQJUprAXaodGs_HsE-nBX
[Physical Chemistry] Atomic Structure | L-09 | De-Broglie Concept : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4482577/1752570294_3016552735225804/1752569629371_883882642068063900_video_VOD.mpd?#keysV1=lWH52AAnzSIPAhKztlMGliKqtDnPYj_1FVlCf4GTVt8MpcuUzrVad5ItDJknW7HnM2RLXSKlq2R-pv6BtU6sJHfJgaR062OVXJvbYlVU5urUuzJGlMMWT_MNdOyC7Ebqr-do3BtZIhx5oTcE8tLrSLXzIYhefgn-bMHo3iE1yd7btKyO0Be5BpAeZYn9iJeZwPFQ0ZL2sSelPM2rVR0GVIjxfwOCdHx9ppH0at7A4r2v3E127HDH4OPPUHeNl7uJY9tvn2BRHTNK2sfMcpGuJ7kMSBawwz889oWVhQxFbDzOa7YTEboe3Q3QnhuQMl0VFY5RA0DQi88W1C0dpk_lDeIG5690Qkh5sc9aZOmdKDwWr7PwB_fAY1kSmoSIKjm8
[Physical Chemistry] Atomic Structure | L-10 | Heisenberg Uncertainty Principle : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4481894/175249742146301190274/175249742146301190274_1190274.m3u8
[Physical Chemistry] Atomic Structure | L-11 | Quantum Mechenical Model : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4483924/175267026788995384965/175267026788995384965_5384965.m3u8
[Physical Chemistry] Atomic Structure | L-12 | Schrödinger Wave Equation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4485904/175284284228631561360/175284284228631561360_1561360.m3u8
[Physical Chemistry] Atomic Structure | L-13 | Atomic Structure Sheet Discussion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4487951/175310249249984140914/175310249249984140914_4140914.m3u8
[Physical Chemistry] Atomic Structure | L-14 | Sheet Discussion and Basic Concepts of Chemical Equilibrium : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4491487/175327635428651561360/175327635428651561360_1561360.m3u8
[Planner/Time-Table] JEE 11th P1 Batch | Test Syllabus (JEE ADVANCED): https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6874c3e1c64e9_Test_Syllabus_P1.pdf
[Planner/Time-Table] JEE 11th P1 Batch | Test Schedule: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/684ad78bccea7_P1_Time_Table.pdf
[Planner/Time-Table] JEE 11th P1 Batch | Academic Planner: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/684698ed9ceb7_Planner_11th_P1.pdf
[Planner/Time-Table] JEE 11th P1 BATCH | Class Schedule: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6865290df1455_P1_Time_Table.pdf
[Test Paper] JEE Advance Test - 02 (Paper -01) | Answer key & Solution Explanation | 20-July-2025: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_Careerwill_XI_JEE_Advanced_Test2_XI_200725_With_Answer_Solution.pdf
[Test Paper] JEE Main Test - 01 (Paper -01) | Answer key & Solution Explanation | 22-Jun-2025: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/685d03157ac7d_JEE_Main_Test1XI220625With_Answer_Solution_1.pdf
[Physics] Circular Motion and Work Power Energy | L-04 | Dynamics of Circular Motion: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NKS_Sir_Physics_11th_Circular_Motion_and_WPE_Lecture04.pdf
[Physics] Circular Motion and Work Power Energy | L-03 (Class Notes) | Radius of Curvature: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NKS_Sir_Physics_11th_Circular_Motion_and_WPE_Lecture03.pdf
[Physics] Circular Motion and Work Power Energy | L-02 (Class Notes) | Kinematics of Circular Motion: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NKS_Sir_Physics_11th_Circular_Motion_and_WPE_Lecture02.pdf
[Physics] Circular Motion and Work Power Energy | L-01 (Class Notes) | Centripetal Acceleration: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NKS_Sir_Physics_11th_Circular_Motion_and_WPE_Lecture01.pdf
[Physics] Newton's Law of Motion and Friction | L-10 (Class Notes) | Friction: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NKS_Sir_Physics_11th_NLM_Lecture10.pdf
[Physics] Newton's Law of Motion and Friction | L-09 (Class Notes) | Friction: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NKS_Sir_Physics_11th_NLM_Lecture09.pdf
[Physics] Newton's Law of Motion and Friction | L-08 (Class Notes) | Friction: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6880c37e1cd40_NKS_Sir_Physics_11th_NLM_Lecture08.pdf
[Physics] Newton's Law of Motion and Friction | L-07 (Class Notes) | Friction: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/687e1ffb8fe43_NKS_Sir_Physics_11th_NLM_Lecture07.pdf
[Physics] Newton's Law of Motion and Friction | L-06 (Class Notes) | Problem Practice: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/687a2ba0329e1_NKS_Sir_Physics_11th_NLM_Lecture06.pdf
[Physics] Newton's Law of Motion and Friction | L-05 (Class Notes) | Pseudo Force: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6877887c2a5a6_NKS_Sir_Physics_11th_NLM_Lecture05.pdf
[Physics] Newton's Law of Motion and Friction | L-04 (Class Notes) | Spring Tension: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6874e6f497cdc_NKS_Sir_Physics_11th_NLM_Lecture04.pdf
[Physics] Newton's Law of Motion and Friction | L-03 (Class Notes) | Free Body Diagram: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6870f754050c0_NKS_Sir_Physics_11th_NLM_Lecture03.pdf
[Physics] Sheet - 01 | Particle Dynamics: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/686f905f39397_Particle_DynamicsXICareerwillcompressed.pdf
[Physics] Newton's Law of Motion and Friction | L-02 (Class Notes) | Newton's Third Law: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/686e4e7eed3f0_NKS_Sir_Physics_11th_NLM_Lecture02.pdf
[Physics] Newton's Law of Motion and Friction | L-01 (Class Notes) | Newton's First Law: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/686bc56348006_20250707164129143.pdf
[Physics] Kinematics | L-19 (Class Notes) | Constraint Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6867b6de612c1_NKS_Sir_Physics_11th_Kinematics_Lecture19.pdf
[Physics] Kinematics | L-18 (Class Notes) | Constraint Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/686518be11b35_NKS_Sir_Physics_11th_Kinematics_Lecture18.pdf
[Physics] Kinematics | L-17 (Class Notes) | Relative Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68627593ec64e_NKS_Sir_Physics_11th_Kinematics_Lecture17.pdf
[Physics] Kinematics | L-16 (Class Notes) | Relative Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/685e82baa63db_NKS_Sir_Physics_11th_Kinematics_Lecture16.pdf
[Physics] Kinematics | L-15 (Class Notes) | Relative Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/685bda912429f_NKS_Sir_Physics_11th_Kinematics_Lecture15.pdf
[Physics] Kinematics | L-14 (Class Notes) | Relative Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/685936184b912_NKS_Sir_Physics_11th_Kinematics_Lecture14.pdf
[Physics] Kinematics | L-13 (Class Notes) | Relative Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6855419692fd6_NKS_Sir_Physics_11th_Kinematics_Lecture13.pdf
[Physics] Kinematics | L-12 (Class Notes) | Projectile: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68529f18eb293_NKS_Sir_Physics_11th_Kinematics_Lecture12.pdf
[Physics] Kinematics | L-11 (Class Notes) | Projectile: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6850004a59bbb_NKS_Sir_Physics_11th_Kinematics_Lecture11.pdf
[Physics] Kinematics | L-10 (Class Notes) | Projectile: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/684c09277cf86_NKS_Sir_Physics_11th_Kinematics_Lecture10.pdf
[Physics] Kinematics | L-09 (Class Notes) | Projectile: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/684964910bd98_NKS_Sir_Physics_11th_Kinematics_Lecture09.pdf
[Physics] Kinematics | L-08 (Class Notes) | Graphs in 1-D Motion with Variable Acceleration: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6842cdc7d8ffb_20250606164248839.pdf
[Physics] Kinematics | L-07 (Class Notes) | Graphs in 1-D Motion with Variable Acceleration: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/683d85a397752_NKS_Sir_Physics_11th_Kinematics_Lecture07.pdf
[Physics] Kinematics | L-06 (Class Notes) | Graphs in 1-D Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6839931671f78_NKS_Sir_Physics_11th_Kinematics_Lecture06.pdf
[Physics] Sheet - 01 | Unit and Dimension, Vector, Basic Maths: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/683950114dfd8_Introduction_to_Physics_Units_DimensionsXISendcompressed.pdf
[Physics] Sheet - 01 | Kinematics: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68394fdfd6c61_Kinematics_XIsendcompressed_1.pdf
[Physics] Kinematics | L-05 (Class Notes) | Graphs in 1-D Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6836efb5f0136_NKS_Sir_Physics_11th_Kinematics_Lecture05.pdf
[Physics] Kinematics | L-04 (Class Notes) | Graphs in 1 - D Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/683459b0633bd_NKS_Sir_Physics_11th_Kinematics_Lecture04.pdf
[Physics] Kinematics | L-03 (Class Notes) | 1-D Motion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68305cc6e398a_NKS_Sir_Physics_11th_Kinematics_Lecture03.pdf
[Physics] Kinematics | L-02 (Class Notes) | Kinematics Definition: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/682db7fb5b136_NKS_Sir_Physics_11th_Kinematics_Lecture02.pdf
[Physics] Kinematics | L-01 (Class Notes) | Introduction: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/682b11de7408a_NKS_Sir_Physics_11th_Kinematics_Lecture01.pdf
[Physics] Basic Maths | L-05 (Class Notes) | Integration: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6827300f1b34b_NKS_Sir_Physics_11th_Basic_Maths_Lecture05.pdf
[Physics] Basic Maths | L-04 (Class Notes) | Maxima and Minima: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6824924a04f7b_NKS_Sir_Physics_11th_Basic_Maths_Lecture04.pdf
[Physics] Basic Maths | L-03 (Class Notes) | Chain Rule: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6821d6cd0814e_NKS_Sir_Physics_11th_Basic_Maths_Lecture03.pdf
[Physics] Basic Maths | L-02 (Class Notes) | Differential Calculus: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/681de513d01b5_NKS_Sir_Physics_11th_Basic_Maths_Lecture02.pdf
[Physics] Basic Maths | L-01 (Class Notes) | Differential Equation: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/681b57876c434_NKS_Sir_Physics_11th_Basic_Maths_Lecture08.pdf
[Physics] Vector | L-07 (Class Notes) | Dot Product: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68189df28dcef_NKS_Sir_Physics_11th_Vactor_Lecture07.pdf
[Physics] Vector | L-06 (Class Notes) | Vector in 3D: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68162b2e7f121_NKS_Sir_Physics_11th_Vactor_Lecture06.pdf
[Physics] Vector | L-05 (Class Notes) | Vector Components: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6814768f47ec5_NKS_Sir_Physics_11th_Vactor_Lecture05.pdf
[Physics] Vector | L-04 (Class Notes) | Resolution of Vectors: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6811a98f9b45f_NKS_Sir_Physics_11th_Lecture07.pdf
[Physics] Vector | L-01 (Class Notes) | Introduction: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/680873a3cc544_NKS_Sir_Physics_11th_Lecture04.pdf
[Physics] Unit and Dimensions | L-03 (Class Notes) | Dimensions: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/680609be1bc87_NKS_Sir_Physics_11th_Lecture03.pdf
[Physics] Unit and Dimensions | L-02 (Class Notes) | Dimensions: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/680626f9a2d9e_NKS_Sir_Physics_11th_Lecture02.pdf
[Physics] Unit and Dimension | L-01 (Class Notes) | Fundamental Quantities: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/680625ccc6498_Lecture01_NKS_Sir_11th.pdf
[Maths] Sequence & Series | L-02 (Class Notes) | Arithmetic Progression: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_PJ_Sir_Maths_11th_P1_P2_Sequence_and_Series_Lecture02.pdf
[Maths] Sequence & Series | L-01 (Class Notes) | Arithmetic Progression: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_PJ_Sir_Maths_11th_P1_P2_Sequence_and_Series_Lecture01.pdf
[Maths] Quadratic Equations and Inequation | L-09 (Class Notes) | Location of Roots (II): https://educp.crwilladmin.com/uploads/class-attachment/lclsys_PJ_Sir_Maths_11th_P1_P2_Quadratic_Equations_and_Inequation_Lecture09.pdf
[Maths] Quadratic Equations and Inequation | L-08 (Class Notes) | Location and Roots: https://educp.crwilladmin.com/uploads/class-attachment/lclsys_PJ_Sir_Maths_11th_P1_P2_Quadratic_Equations_and_Inequation_Lecture08.pdf
[Maths] Quadratic Equations and Inequation | L-07 (Class Notes) | Theory of Equations: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/687f88c6329e9_PJ_Sir_Maths_11th_P1_P2_Quadratic_Equations_and_Inequation_Lecture07.pdf
[Maths] Quadratic Equations and Inequation | L-06 (Class Notes) | Resolving Into Two Linear Factors: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/687b958076a20_PJ_Sir_Maths_11th_P1_P2_Quadratic_Equations_and_Inequation_Lecture06.pdf
