( Video - Intro - LIVE ) DSSSB 2025 (GP) | New Batch Introduction | By Uday Sir | Careerwill App: https://www.youtube.com/embed/lpzFg-65eRE
( Video - Intro - LIVE ) DSSSB TGT SPECIAL BATCH INTRODUCTION BY UDAY SIR | CAREERWILL APP: https://www.youtube.com/embed/vUN2PvPTGSE
( Video - Physics - LIVE ) Class - 22 | Phy | Work, Power amd Energy: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4584781/176155353072185146684/176155353072185146684_5146684.m3u8
( Video - Physics - LIVE ) Class - 23 | Phy | Work, Power and Energy: https://dfj20ef2xs681.cloudfront.net/out/v1/64f33532662a4a4b8425fa0be7a4fce9/index.m3u8
( Video - Biology - LIVE ) Class-01 | Biology | Introduction: https://www.youtube.com/embed/MyH9B1s1eZg
( Video - Biology - LIVE ) Class-02 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4551083/175804389670533287604/175804389670533287604_3287604.m3u8
( Video - Biology - LIVE ) Class-03 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552143/175813083527276974029/175813083527276974029_6974029.m3u8
( Video - Biology - LIVE ) Class-04 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553048/175821667758867316486/175821667758867316486_7316486.m3u8
( Video - Biology - LIVE ) Class-05 | Biology | Introduction: https://www.youtube.com/embed/EcwayUWnMmY
( Video - Biology - LIVE ) Class-06 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4554876/175838918177159047400/175838918177159047400_9047400.m3u8
( Video - Biology - LIVE ) Class-07 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555985/175856197075206618747/175856197075206618747_6618747.m3u8
( Video - Biology - LIVE ) Class-08 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557149/175864849777264292795/175864849777264292795_4292795.m3u8
( Video - Biology - LIVE ) Class-09 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4558590/175873498195538291192/175873498195538291192_8291192.m3u8
( Video - Biology - LIVE ) Class-10 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559638/175882080815078291192/175882080815078291192_8291192.m3u8
( Video - Biology - LIVE ) Class-11 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560729/175890737448224392287/175890737448224392287_4392287.m3u8
( Video - Biology - LIVE ) Class-12 | Biology | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4575776/176020233947356974029/176020233947356974029_6974029.m3u8
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 15 Sept 2025: https://www.youtube.com/embed/y1femNk_r-I
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 16 Sept 2025: https://www.youtube.com/embed/gAKRRCfMpus
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 17 Sept 2025: https://www.youtube.com/embed/CXUZIE-fvbc
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 18 Sept 2025: https://www.youtube.com/embed/1sLiD2FjA6c
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 19  Sept 2025: https://www.youtube.com/embed/-UVx_moHStg
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 20 Sept 2025: https://www.youtube.com/embed/4GVLD9A9rvU
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 22 Sept 2025: https://www.youtube.com/embed/7-UaCFcvrP4
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 23 Sept 2025: https://www.youtube.com/embed/aDvbfgdruaI
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 24 Sept 2025: https://www.youtube.com/embed/C_7D_ro6xwM
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 25 Sept 2025: https://www.youtube.com/embed/M_EDU59dY7w
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 26 Sept 2025: https://www.youtube.com/embed/WvSuzEY5IgU
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 27 Sept 2025: https://www.youtube.com/embed/iPfedtx35D4
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 29 Sept 2025: https://www.youtube.com/embed/HCDO26ziMWA
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 30 Sept 2025: https://www.youtube.com/embed/ytwTGr5JI2w
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 01 Oct 2025: https://www.youtube.com/embed/7slv-hAf9h4
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 02 Oct 2025: https://www.youtube.com/embed/n1_vsQVA_iw
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 06 Oct 2025: https://www.youtube.com/embed/86ictZcn5VI
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 07 Oct 2025: https://www.youtube.com/embed/F2q0-XT_Vq0
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 09 Oct 2025: https://www.youtube.com/embed/UC83q3XAIdw
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 10 Oct 2025: https://www.youtube.com/embed/mjuF254L_9s
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 11 Oct 2025: https://www.youtube.com/embed/YoIxHcb4Kd0
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 13 Oct 2025: https://www.youtube.com/embed/gleI-0_YSU0
( Video - Current Affairs - LIVE ) CURRENT AFFAIRS 15 Oct 2025: https://www.youtube.com/embed/LbWqZoSKkSg
( Notes - Maths - LIVE ) Maths | 15 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68c93bbb443ea_Math_15_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Maths | 16 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68c93be4b3fa6_Math_16_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Maths | 17 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68cbe81684acd_Math_17_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Maths | 19 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68cd04dd4f029_11_am_uday_sir_19_sept.pdf
( Notes - Maths - LIVE ) Maths | 18 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d0f7b4dd72f_11_am_uday_sir_18_sept.pdf
( Notes - Maths - LIVE ) Maths | 22 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d0f7d55375a_Math_22_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am_1.pdf
( Notes - Maths - LIVE ) Maths | 23 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d2665087286_Math_23_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Maths | 24 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d399e6a2159_Math_24_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Maths | 26 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d6864e5efe4_Math_26_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Maths | 29 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68da4578730db_Math_29_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Percentage: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882060-Percentage.pdf
( Notes - Maths - LIVE ) Profit and Loss: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882060-Profit_and_Loss.pdf
( Notes - Maths - LIVE ) Simple Interest: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882060-Simple_Interest.pdf
( Notes - Maths - LIVE ) Compound Interest: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882060-Compound_Interest.pdf
( Notes - Maths - LIVE ) Ratio and Proportion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882060-Ratio_and_Proportion.pdf
( Notes - Maths - LIVE ) Mixture and Allegation: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882060-Mixture_and_Allegation.pdf
( Notes - Maths - LIVE ) Ages: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882060-Ages.pdf
( Notes - Maths - LIVE ) Average: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882560-Average.pdf
( Notes - Maths - LIVE ) Time and Work: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882560-Time_and_work.pdf
( Notes - Maths - LIVE ) Speed Time and Distance: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1624882560-Speed_time_and_distance.pdf
( Notes - Maths - LIVE ) Boat and Stream: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1628758957-Boat_and_stream.pdf
( Notes - Maths - LIVE ) Surds and Indices: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1630043749-Surds_and_Indices.pdf
( Notes - Maths - LIVE ) Simplification: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1630043749-Simplification.pdf
( Notes - Maths - LIVE ) Mensuration: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1630043749-Mensuration.pdf
( Notes - Maths - LIVE ) LCM HCF: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1630043749-LCM_HCF.pdf
( Notes - Maths - LIVE ) DI: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1630043749-DI.pdf
( Notes - Maths - LIVE ) Mensuration DSSSB Question: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1631090034-MENSURATION_DSSSB_QUESTIONS_.pdf
( Notes - Maths - LIVE ) DI DSSSB  Previous Year Question : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1631090034-DI_DSSSB_PREVIOUS_YEAR_QUESTIONS_ALL_POST.pdf
( Notes - Maths - LIVE ) Pipe and Cistern(पाइप और टंकी) : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1634703921-Pipe_and_Cistern(पाइप_और_टंकी)_(Student_file).pdf
( Notes - Maths - LIVE ) Number System: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1634960706-Number.pdf
( Notes - Maths - LIVE ) Train: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/1634960706-train.pdf
( Notes - Maths - LIVE ) Percentage: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/658039e8ee811_PERCENTAGE.._compressed.pdf
( Notes - Maths - LIVE ) Percentage (50 Question): https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd3b6db028_PERCENTAGE (50 QUESTION).pdf
( Notes - Maths - LIVE ) Profit and Loss (50 Question): https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd3fd07a89_PROFIT AND LOSS (50 QUESTION).pdf
( Notes - Maths - LIVE ) Discount (50 Question): https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd446b95db_DISCOUNT (50 QUESTION).pdf
( Notes - Maths - LIVE ) CI (50 Question): https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd4fc1199c_COMPOUND INTEREST (50 QUESTION)...........pdf
( Notes - Maths - LIVE ) SI (75 Question): https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd53c1f573_SIMPLE INTEREST (75 QUESTION).....pdf
( Notes - Maths - LIVE ) Ratio & Proportion: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd58403a06_RATIO & PROPORTION.pdf
( Notes - Maths - LIVE ) Mixture & Alligation: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd5c24f49c_MIXTURE & ALLIGATION.......pdf
( Notes - Maths - LIVE ) Pipe & Cistern: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd5ebdf507_PIPE & CISTERN....pdf
( Notes - Maths - LIVE ) Time and Work: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd6183708b_TIME AND WORK...pdf
( Notes - Maths - LIVE ) Average: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd64a71f0f_AVERAGE.........pdf
( Notes - Maths - LIVE ) Boat and Stream: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd6774eefc_BOAT AND STREAM .....pdf
( Notes - Maths - LIVE ) Mensuration: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd6a449bc9_MANSURATION....pdf
( Notes - Maths - LIVE ) Speed, Time & Distance: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/666fd6d6a5ed7_SPEED, TIME & DISTANCE......pdf
( Notes - Maths - LIVE ) Average and Age: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1ebd99a3fd_Average and age..pdf
( Notes - Maths - LIVE ) 2D, 3D Area and Volume: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1ec10d5814_2D, 3D Area and Volume  Student Copy.pdf
( Notes - Maths - LIVE ) Boat and Stream: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1ec56ac436_Boat and  Stream Student Copy.pdf
( Notes - Maths - LIVE ) Compound Interest: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1ec7fac6d5_Compound Interest (s).pdf
( Notes - Maths - LIVE ) Data Interpretation: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1ed958abb9_Data Interpretation (S)_compressed.pdf
( Notes - Maths - LIVE ) Numbers System and Simplification Sheet: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1ee1e8d8e1_DSSSB (Numbers system and simplification).pdf
( Notes - Maths - LIVE ) Profit & Loss Sheet: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1ee7086d9c_DSSSB Profit & Loss (S).pdf
( Notes - Maths - LIVE ) Ratio and Proportion Sheet: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1eef29dc00_DSSSB Ratio and Proportion (S).pdf
( Notes - Maths - LIVE ) LCM and HCF: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1efcb06c23_LCM and HCH Student Copy.pdf
( Notes - Maths - LIVE ) Miscellaneous & Partnership: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1effaba704_Miscellaneous & Partnership (S).pdf
( Notes - Maths - LIVE ) Mixuture and Alligation: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1f034288c8_Mixuture and alligation.pdf
( Notes - Maths - LIVE ) Percentage: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1f0696f36a_Percentage (S).pdf
( Notes - Maths - LIVE ) Pipe and Cistern: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1f09a53f37_Pipe and Cistern  (S).pdf
( Notes - Maths - LIVE ) Simple Interest: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1f0c9e1d08_Simple Interest (s).pdf
( Notes - Maths - LIVE ) Time and Work: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1f1570eebd_Time and work (S).pdf
( Notes - Maths - LIVE ) Time, Speed & Distance: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/66b1f1992e810_Time, Speed & Distance (s).pdf
( Notes - Maths - LIVE ) Ages: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6718d0560c979_Ages.pdf
( Notes - Maths - LIVE ) Data Interpretation: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/679840b01c250_66b1ed958abb9Data_Interpretation_Scompressed.pdf
( Notes - Maths - LIVE ) Maths | 03 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68df8f53e7ce9_Math_03_Oct_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Maths | 7 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e4ef83a6c03_Math_07_Oct_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Maths | 06 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e4f5031f970_Math_06_Oct_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - Maths - LIVE ) Maths | 10 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e8b3e3bd841_Math_10_Oct_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Uday_Sir_11.00_am.pdf
( Notes - English - LIVE ) Eng | 19 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d106998d43c_Eng_19_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Arun_Sir_4pm.pdf
( Notes - English - LIVE ) Eng | 23 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d39af0ac7d1_Eng_23_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Arun_Sir_4pm.pdf
( Notes - English - LIVE ) Eng | 24 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d4fa8e319ee_Eng_24_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Arun_Sir_4pm_compressed.pdf
( Notes - English - LIVE ) Eng | 25 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d66c2a75bf6_Eng_25_Sept_Class_PNG_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Arun_Sir_4pm_compressed.pdf
( Notes - English - LIVE ) Eng | 6 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e4f0f0e285e_Eng_6_Oct_EMRS_Tier_1_Non_Teaching_EMRS_Tier1_TGT_PGT_DSSSB_2025_PRT_B_06_DSSSB_2025_GP_B_06_Eng_Arun_Sir_4_pm.pdf
( Notes - English - LIVE ) Eng | 06 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e4f584bec03_Eng_6_Oct_EMRS_Tier_1_Non_Teaching_EMRS_Tier1_TGT_PGT_DSSSB_2025_PRT_B_06_DSSSB_2025_GP_B_06_Eng_Arun_Sir_4_pm.pdf
( Notes - English - LIVE ) Eng | 10 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ea346791e95_Eng_10_Oct_EMRS_Tier_1_Non_Teaching_EMRS_Tier1_TGT_PGT_DSSSB_2025_PRT_B_06_DSSSB_2025_GP_B_06_Eng_Arun_Sir_4_pm_compressed.pdf
( Notes - English - LIVE ) Eng | 15 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68f0c04a68b3f_Eng_15_Oct_Class_PNG_EMRS_Tier1_NonTeaching_EMRS_Tier1_TGTPGT_DSSSB_2025_PRT_B06_DSSSB_2025_GP_B06_Arun_Sir4_pm_compressed.pdf
( Notes - English - LIVE ) Eng | 17 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68fb14c7e7273_Eng_17_Oct_EMRS_Tier_1_Non_Teaching_EMRS_Tier1_TGT_PGT_DSSSB_2025_PRT_B_06_DSSSB_2025_GP_B_06_Eng_Arun_Sir_4_pm_compressed.pdf
( Notes - Reasoning - LIVE ) Reas | 18 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68cce0bb38424_Arun_Sir_Reas_09_45_AM_18Sep.pdf
( Notes - Reasoning - LIVE ) Reas | 18 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68cbf8c82b00e_Reas_3_PM_18_Sep.pdf
( Notes - Reasoning - LIVE ) Reas | 19 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68cd42061cbc6_Arun_Sir_3_PM_19_Sept.pdf
( Notes - Reasoning - LIVE ) Reas | 23 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d27f282aac9_Arun_Sir_3_PM_23Sept.pdf
( Notes - Reasoning - LIVE ) Reas | 25 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d52d91b9836_Arun_Sir_3_PM_25_Sep_compressed.pdf
( Notes - Reasoning - LIVE ) Reas | 27 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68da2ab1e70a7_27_sept_reas_930_1100am.pdf
( Notes - Reasoning - LIVE ) Reas | 29 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68da634c82931_Arun_Sir_Reas_03.00_PM_29_Sep_compressed.pdf
( Notes - Reasoning - LIVE ) Reas | 30 Sept | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68dbbbaaea53c_20250930155327121.pdf
( Notes - Reasoning - LIVE ) Reas | 01 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68dd26514be68_Arun_Sir_3_PM_1_Oct_compressed.pdf
( Notes - Reasoning - LIVE ) Reas | 03 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e0e01178ec7_Arun_Sir_3_PM_3_Oct_compressed.pdf
( Notes - Reasoning - LIVE ) Reas | 6 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e354f099600_Arun_Sir_Reas_09.30_AM_06Oct_compressed.pdf
( Notes - Reasoning - LIVE ) Reas | 7 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e4e6d153ce4_Arun_Sir_Reas_09.30_AM_07Oct_compressed.pdf
( Notes - Reasoning - LIVE ) Reas | 09 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e7643557a3a_Arun_Sir_Reas_09.30_AM_09Oct.pdf
( Notes - Reasoning - LIVE ) Reas | 10 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ea22d531e91_10_Oct_Arun_Sir_3PM_compressed.pdf
( Notes - Reasoning - LIVE ) Reas | 14 Oct | Class PNG: https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ee21bddea13_Arun_Sir_Reas_09.30_AM_14Oct.pdf
